CODE ISIN,Code Maroclear,Info,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Benchmark,Periodicite VL,Souscripteurs,Affectation des résultats,Commission de souscription, Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,Normal
MA0000030132,3013,BMCI TRESORERIE,CIH CAPITAL MANAGEMENT,SICAV,Monétaire,"[0  0,5[",TMI (jj),Quotidienne,FGP,Capitalisant,0.0,0.0,0.0067,BMCI,BMCI,217058383.55,120587.99,0.002178334369962643,4.917812815610853e-05,0.0003499084704811,0.0014800292800136,0.004701236997050578,0.009985784248733262,0.022054332090049124,0.044899813502333984,0.054764801634611025,0.07428579828230791,TMI
MA0000030280,3028,CDG TAWFIR,CDG CAPITAL GESTION,SICAV,OMLT,[3  7[,MBI (Global),Quotidienne,FGP,Capitalisant,0.005,0.0,0.02,CDG Capital,CDG CAPITAL GESTION,2346641892.53,3328.89,0.008607838859802167,0.0001922932472019,0.0005440205826129,0.0036390277434409,0.015645546602554832,0.04171699660155588,0.07741877016788086,0.14989550769443344,0.048693893495299685,0.11637663613772566,MBI
MA0000030298,3029,SICAV OBLIGATIONS PÉRENNITÉ,CDG CAPITAL GESTION,SICAV,OMLT,"[1,1[",MBI (MLT),Quotidienne,FNPP,Capitalisant,0.03,0.015,0.02,CDG Capital,CDG CAPITAL GESTION,7378990762.24,3204.56,0.0029702009658629644,7.177787556213567e-05,0.0004308218707659,0.00219857202278,0.00952326947733853,0.025968080167763252,0.05208969434321542,0.10038012107560183,0.07813787929253678,0.13681626455803528,MBI
MA0000030306,3030,CDG TRESORERIE,CDG CAPITAL GESTION,SICAV,Monétaire,"[0  0,5[",MBI (CT) (50%)+TMP (50%),Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,CDG Capital,CDG CAPITAL GESTION,4605120604.8,2186.04,0.0034104314218698327,7.777223714130884e-05,0.000512604580488,0.0019387572703397,0.007554213813287799,0.015699848995237527,0.034341790239701686,0.06973717048440688,0.08479723694396468,0.12139119729147423,MBI+TMP
MA0000030371,3037,CIMR TRESO PLUS,SOGECAPITAL GESTION,SICAV,OCT,]0.5  1.1],MBI Court Terme,Quotidienne,FNPP,Capitalisant,0.03,0.015,0.02,SOCIETE GENERALE,SOGECAPITAL GESTION,45451442.16,388473.86,0.003211085451109803,6.680432390538964e-05,0.0005366946348153,0.0017105003162497,0.0071249878508183396,0.014877989088635144,0.03446257025298982,0.07250156717240797,0.0827138385964431,0.1280388136507514,MBI
MA0000030413,3041,BMCI CASH,CIH CAPITAL MANAGEMENT,SICAV,OCT,"[0,6  1,1[",MBI (CT),Quotidienne,FGP,Capitalisant,0.0,0.0,0.0067,BMCI,BMCI,39402282.07,187.63,0.004443254817987067,5.329922183131279e-05,0.0004265529192214,0.0014410760034157,0.009034686743748356,0.01668924410728791,0.03297731777141604,0.0605358354058332,0.06137572123543384,0.09074526217881633,MBI
MA0000030470,3047,CFG CROISSANCE,CFG GESTION,SICAV,Diversifié,-,CFG 25 flottant (50%)+Bonds (CT) (50%),Quotidienne,FGP,Capitalisant,0.002,0.002,0.015,CFG BANK,CFG Gestion;CFG BANK,1142825970.387568,9091.4,0.06399487863080609,-0.0026865177179627,0.0002838652322303,0.0116573046210819,0.06914755374608537,0.11972431188818768,0.21375159705914154,0.31819981063764075,0.1327040671394469,0.23308666355616794,CFG
MA0000030488,3048,IRAD,BMCE CAPITAL GESTION,SICAV,Monétaire,"[0  0,5[",-,Quotidienne,FGP,Capitalisant,0.0,0.0,0.015,BMCE BANK,BMCE Bank,4663789205.02,2680.36,0.003395363288897935,7.462241060245391e-05,0.0005449998133562,0.0021086319315667,0.007654135338345912,0.015934382485824298,0.034760184069921846,0.07134263570849014,0.08721276897803566,0.13441906922412766,
MA0000030512,3051,HORIZON EXPANSION,UPLINE CAPITAL MANAGEMENT,SICAV,Diversifié,-,40% TMP + 60% MASI,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,BCP,Upline Capital Management,4312893.2,39208.12,0.05881526905891363,-0.0021251350796938,0.0020678704154986,0.0131297157622739,0.05659594329626322,0.0945116027701041,0.1664580666332074,0.28722054713928524,0.13840947192804892,0.2553604315496393,MASI+TMP
MA0000030553,3055,ATTIJARI TRESORERIE,WAFA GESTION,SICAV,Monétaire,"[0  0,5[",TMP,Quotidienne,FGP,Capitalisant,0.0,0.0,0.005,ATTIJARIWAFA BANK,ATTIJARIWAFA BANK ,4280086026.28,5510.56,0.0027294761589355767,6.170352544910103e-05,0.0004538803135768,0.0016741345306152,0.006110909260209391,0.012328578383194589,0.02752403061747743,0.056650661921489924,0.066579955366907,0.09817832523899403,TMP
MA0000030579,3057,CDM OPTIMUM,WAFA GESTION,SICAV,Diversifié,-,MBI (MLT) (50%)+Masi Rentabilite (50%),Quotidienne,FGP,Capitalisant,0.015,0.005,0.02,Credit du Maroc,CREDIT DU MAROC,407130561.15,6292.2,0.059357132755520445,-0.0024114493904788,0.001787940397741,0.0167831761021533,0.0545032830678166,0.09741038913926126,0.17955158968206364,0.32880557016237866,0.12992260312101567,0.2254771165198491,MBI+Masi
MA0000030587,3058,CDM GENERATION,WAFA GESTION,SICAV,OMLT,[3  5[,MBI (MT) (65%)+MBI (MLT) (35%),Quotidienne,FGP,Capitalisant,0.01,0.005,0.02,Credit du Maroc,CREDIT DU MAROC,716429071.49,3494.16,0.006715934137170995,-0.0002660875685605,0.0001373909459366,0.0026629324395674,0.015183474243876859,0.03807795032070805,0.07362638037940843,0.15435390196039558,0.06931238466552614,0.13404042633293956,MBI
MA0000030595,3059,CDM TRESOR PLUS,WAFA GESTION,SICAV,OCT,"]0,5  1,1]",MBI (CT),Quotidienne,FGP,Capitalisant,0.01,0.005,0.02,Credit du Maroc,CREDIT DU MAROC,347424578.12,1674.83,0.0033788843690646833,7.762584343451868e-05,0.0005854765958717,0.0019382743376062,0.00788941578605237,0.016440700595966647,0.03722626833134854,0.07975527360874445,0.08629635875416333,0.13051138051137523,MBI
MA0000030603,3060,CDM CASH,WAFA GESTION,SICAV,Monétaire,"[0  0,5[",TMP (40%)+MBI (CT) (60%),Quotidienne,FGP,Capitalisant,0.0,0.0,0.01,Credit du Maroc,CREDIT DU MAROC,1637939424.82,5796.64,0.002828577804919885,6.555951596376096e-05,0.0004711843987912,0.0017904422184893,0.0064607087854180074,0.013572255386412338,0.0302829943870351,0.06102799991946171,0.07293326743925634,0.10679507839887588,MBI+TMP
MA0000030736,3073,BMCI TRESO PLUS,CIH CAPITAL MANAGEMENT,SICAV,Monétaire,"[0,6  1,1[",MBI (CT),Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,BMCI,BMCI,3059000459.28,163.2,0.0026417644529088797,6.127826459949081e-05,0.0004291056212835,0.0016571533787514,0.005855161787365107,0.012658227848101217,0.02848500126039817,0.05795410346168805,0.07100669379183616,0.10359751149580737,MBI
